x_left,g_left,x_right,g_right
0,0,0.00025,1
3.51326E-07,0.000971087,0.000252097,0.945194167
7.00358E-07,0.002157284,0.000254203,0.892416066
1.05174E-06,0.003596555,0.000256463,0.841627749
1.4101E-06,0.005326864,0.00025902,0.792791271
1.78009E-06,0.007386175,0.000262016,0.745868684
2.16634E-06,0.009812452,0.000265594,0.700822042
2.5735E-06,0.012643659,0.000269898,0.657613399
3.0062E-06,0.015917759,0.00027507,0.616204809
3.46909E-06,0.019672717,0.000281254,0.576558324
3.9668E-06,0.023946496,0.000288592,0.538635998
4.50397E-06,0.028777061,0.000297227,0.502399885
5.08525E-06,0.034202375,0.000307304,0.467812039
5.71527E-06,0.040260402,0.000318964,0.434834512
6.39868E-06,0.046989106,0.00033235,0.403429359
7.1401E-06,0.054426452,0.000347606,0.373558632
7.94419E-06,0.062610402,0.000364875,0.345184386
8.81558E-06,0.071578922,0.0003843,0.318268674
9.75892E-06,0.081369974,0.000406024,0.292773549
1.07788E-05,0.092021523,0.000430189,0.268661065
1.188E-05,0.103571532,0.000456939,0.245893275
1.3067E-05,0.116057967,0.000486417,0.224432233
1.43445E-05,0.129518789,0.000518765,0.204239993
1.57171E-05,0.143991964,0.000554128,0.185278608
1.71895E-05,0.159515456,0.000592648,0.167510131
1.87664E-05,0.176127227,0.000634467,0.150896616
2.04523E-05,0.193865243,0.00067973,0.135400117
2.22519E-05,0.212767467,0.000728578,0.120982687
2.41698E-05,0.232871863,0.000781156,0.107606379
2.62107E-05,0.254216394,0.000837606,0.095233247
2.83793E-05,0.276839026,0.00089807,0.083825345
3.06801E-05,0.300777721,0.000962693,0.073344726
3.31178E-05,0.326070444,0.001031617,0.063753444
3.5697E-05,0.352755159,0.001104986,0.055013552
3.84224E-05,0.380869829,0.001182941,0.047087103
4.12986E-05,0.410452418,0.001265627,0.039936152
4.43303E-05,0.441540891,0.001353186,0.033522751
4.75221E-05,0.474173211,0.001445761,0.027808954
5.08786E-05,0.508387342,0.001543496,0.022756815
5.44045E-05,0.544221248,0.001646533,0.018328388
5.81044E-05,0.581712893,0.001755015,0.014485725
6.1983E-05,0.620900241,0.001869086,0.01119088
6.60449E-05,0.661821256,0.001988889,0.008405907
7.02947E-05,0.704513902,0.002114565,0.006092859
7.47371E-05,0.749016142,0.00224626,0.00421379
7.93767E-05,0.795365941,0.002384115,0.002730753
8.42181E-05,0.843601262,0.002528273,0.001605803
8.92661E-05,0.89376007,0.002678878,0.000800991
9.45251E-05,0.945880328,0.002836073,0.000278372
0.0001,1,0.003,0
